LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
0.0001186871,3.75855
0.0001187271,3.09437
0.0001187671,3.09437
0.0001188071,3.75855
0.0001188471,3.42646
0.0001188871,3.75855
0.0001189271,3.09437
0.0001189671,3.75855
0.0001190071,3.75855
0.0001190471,3.75855
0.0001190871,3.09437
0.0001191271,3.75855
0.0001191671,3.75855
0.0001192071,3.42646
0.0001192471,2.76227
0.0001192871,3.42646
0.0001193271,4.09065
0.0001193671,3.75855
0.0001194071,3.42646
0.0001194471,4.09065
0.0001194871,3.75855
0.0001195271,3.75855
0.0001195671,3.09437
0.0001196071,4.09065
0.0001196471,4.09065
0.0001196871,3.75855
0.0001197271,3.75855
0.0001197671,3.75855
0.0001198071,3.75855
0.0001198471,3.42646
0.0001198871,3.09437
0.0001199271,3.75855
0.0001199671,4.09065
0.0001200071,3.42646
0.0001200471,3.09437
0.0001200871,3.75855
0.0001201271,3.75855
0.0001201671,3.75855
0.0001202071,3.42646
0.0001202471,3.75855
0.0001202871,3.42646
0.0001203271,3.75855
0.0001203671,3.42646
0.0001204071,3.42646
0.0001204471,3.75855
0.0001204871,3.75855
0.0001205271,3.42646
0.0001205671,3.75855
0.0001206071,3.75855
0.0001206471,3.75855
0.0001206871,3.42646
0.0001207271,3.75855
0.0001207671,4.09065
0.0001208071,3.75855
0.0001208471,3.09437
0.0001208871,3.75855
0.0001209271,3.75855
0.0001209671,3.75855
0.0001210071,3.09437
0.0001210471,3.75855
0.0001210871,4.09065
0.0001211271,3.75855
0.0001211671,3.09437
0.0001212071,4.09065
0.0001212471,3.75855
0.0001212871,3.75855
0.0001213271,3.42646
0.0001213671,3.75855
0.0001214071,3.75855
0.0001214471,3.42646
0.0001214871,3.42646
0.0001215271,3.75855
0.0001215671,3.75855
0.0001216071,3.75855
0.0001216471,3.09437
0.0001216871,3.75855
0.0001217271,3.75855
0.0001217671,3.75855
0.0001218071,3.75855
0.0001218471,3.75855
0.0001218871,3.75855
0.0001219271,3.75855
0.0001219671,3.42646
0.0001220071,4.42274
0.0001220471,3.75855
0.0001220871,3.09437
0.0001221271,3.42646
0.0001221671,4.09065
0.0001222071,3.75855
0.0001222471,4.09065
0.0001222871,3.09437
0.0001223271,3.75855
0.0001223671,3.75855
0.0001224071,3.75855
0.0001224471,3.09437
0.0001224871,4.09065
0.0001225271,3.42646
0.0001225671,3.75855
0.0001226071,3.42646
0.0001226471,3.75855
0.0001226871,3.75855
0.0001227271,4.09065
0.0001227671,3.09437
0.0001228071,3.42646
0.0001228471,3.75855
0.0001228871,3.75855
0.0001229271,3.09437
0.0001229671,3.42646
0.0001230071,3.75855
0.0001230471,3.09437
0.0001230871,3.42646
0.0001231271,3.75855
0.0001231671,3.75855
0.0001232071,3.75855
0.0001232471,3.09437
0.0001232871,4.09065
0.0001233271,3.42646
0.0001233671,3.42646
0.0001234071,3.09437
0.0001234471,4.09065
0.0001234871,3.42646
0.0001235271,3.42646
0.0001235671,3.42646
0.0001236071,3.75855
0.0001236471,3.75855
0.0001236871,3.75855
0.0001237271,3.42646
0.0001237671,3.75855
0.0001238071,3.75855
0.0001238471,3.75855
0.0001238871,3.09437
0.0001239271,3.42646
0.0001239671,3.75855
0.0001240071,3.09437
0.0001240471,3.42646
0.0001240871,3.75855
0.0001241271,3.75855
0.0001241671,3.42646
